Monitoring Date,Officer ID,Officer Name,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID
10/25/2022,24,Yvonne Cook,8,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",891,Soil Quality Test,Description 127,4.36,Equipment 3,354.56,Non-Compliant,1,3210
4/4/2022,19,Alice Johnson,2,Lambton Park,"Morehead Street, Lambton, NSW 2299",859,Water Quality Test,Description 75,6.81,Equipment 7,86.65,Compliant,4,4746
5/5/2022,9,Samantha Wright,14,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",559,Soil Quality Test,Description 91,3.93,Equipment 12,376.33,Non-Compliant,2,1988
4/24/2022,4,Alice Johnson,15,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",144,Air Quality Check,Description 178,3.97,Equipment 17,378.44,Non-Compliant,1,4035
6/13/2022,12,Beth Smith,16,Waratah Park,"Turton Road, Waratah, NSW 2298",653,Noise Level Measurement,Description 92,2.35,Equipment 12,253.02,Compliant,5,3939
10/31/2022,21,Zoe Ward,18,King Edward Park,"Reserve Road, Newcastle, NSW 2300",337,Noise Level Measurement,Description 178,2.53,Equipment 17,351.41,Non-Compliant,4,2305
11/23/2022,3,Isabella Thompson,22,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",430,Water Quality Test,Description 146,7.73,Equipment 19,445.03,Compliant,3,3013
1/9/2022,8,Diana Taylor,7,King Edward Park,"Reserve Road, Newcastle, NSW 2300",702,Noise Level Measurement,Description 139,5.4,Equipment 16,357.94,Non-Compliant,5,4276
8/20/2022,23,Megan Lewis,22,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",476,Air Quality Check,Description 83,4.61,Equipment 14,490.2,Non-Compliant,5,2094
7/5/2022,5,Kate Harris,4,Merewether Beach,"John Parade, Merewether, NSW 2291",669,Air Quality Check,Description 134,5.58,Equipment 11,81.33,Non-Compliant,1,3244
4/22/2022,18,Catherine Lee,20,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",683,Noise Level Measurement,Description 130,1.98,Equipment 8,308.8,Non-Compliant,3,11
7/2/2022,13,Olivia Hall,15,Speers Point Park,"Park Road, Speers Point, NSW 2284",847,Air Quality Check,Description 169,4.54,Equipment 6,242.61,Non-Compliant,4,4139
12/22/2022,2,Rachel King,5,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",572,Noise Level Measurement,Description 24,7.9,Equipment 17,371.05,Compliant,2,4017
6/16/2022,15,Ella Brown,3,Redhead Beach,"Beach Road, Redhead, NSW 2290",439,Soil Quality Test,Description 66,3.49,Equipment 16,44.94,Compliant,2,4455
4/25/2022,5,Xena Perez,14,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",872,Water Quality Test,Description 146,7.17,Equipment 3,93.13,Compliant,1,994
4/27/2022,4,Catherine Lee,16,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",119,Noise Level Measurement,Description 27,5.8,Equipment 18,432.72,Non-Compliant,2,1748
3/11/2022,9,Megan Lewis,4,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",904,Noise Level Measurement,Description 123,1.76,Equipment 20,292.04,Non-Compliant,2,4397
2/13/2022,12,Isabella Thompson,13,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",202,Air Quality Check,Description 11,7.39,Equipment 3,466.09,Compliant,1,4816
12/18/2022,2,Vicky Turner,11,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",17,Water Quality Test,Description 121,3.17,Equipment 8,254.42,Compliant,3,581
5/2/2022,4,Beth Smith,1,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",563,Air Quality Check,Description 175,1.96,Equipment 5,117.77,Compliant,3,4183
10/19/2022,14,Olivia Hall,20,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",935,Air Quality Check,Description 171,1.34,Equipment 19,323.48,Compliant,1,4389
10/12/2022,15,Grace Jones,4,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",396,Water Quality Test,Description 176,1.72,Equipment 9,487.59,Non-Compliant,5,3829
4/14/2022,9,Yvonne Cook,5,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",301,Soil Quality Test,Description 154,7.01,Equipment 20,229.82,Non-Compliant,5,4026
4/29/2022,16,Hannah Moore,18,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",490,Noise Level Measurement,Description 191,3.33,Equipment 17,67.59,Compliant,4,4176
10/27/2022,8,Laura Clark,19,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",689,Air Quality Check,Description 29,2.22,Equipment 19,145.19,Non-Compliant,3,551
11/19/2022,18,Kate Harris,4,Lambton Park,"Morehead Street, Lambton, NSW 2299",909,Soil Quality Test,Description 168,6.79,Equipment 14,39.44,Compliant,3,189
2/16/2022,24,Vicky Turner,18,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",84,Air Quality Check,Description 193,4.41,Equipment 7,357.6,Non-Compliant,5,2636
7/25/2022,13,Uma Allen,23,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",550,Air Quality Check,Description 36,1.66,Equipment 8,49.89,Non-Compliant,4,2566
3/12/2022,3,Xena Perez,15,Waratah Park,"Turton Road, Waratah, NSW 2298",353,Noise Level Measurement,Description 178,3.77,Equipment 13,87.99,Non-Compliant,4,4151
3/21/2022,25,Olivia Hall,24,King Edward Park,"Reserve Road, Newcastle, NSW 2300",270,Air Quality Check,Description 186,5.01,Equipment 11,126.54,Compliant,5,4640
1/10/2022,12,Natalie Walker,14,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",955,Air Quality Check,Description 27,7.18,Equipment 11,256.19,Compliant,1,1903
10/23/2022,13,Catherine Lee,21,King Edward Park,"Reserve Road, Newcastle, NSW 2300",219,Soil Quality Test,Description 130,7.12,Equipment 20,393.41,Non-Compliant,3,642
5/8/2022,25,Samantha Wright,13,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",636,Noise Level Measurement,Description 180,7.8,Equipment 18,410.76,Non-Compliant,5,3434
1/13/2022,9,Diana Taylor,12,Merewether Beach,"John Parade, Merewether, NSW 2291",824,Water Quality Test,Description 44,7.39,Equipment 11,334.06,Compliant,1,2449
11/12/2022,5,Isabella Thompson,17,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",312,Soil Quality Test,Description 38,1.18,Equipment 8,364.59,Non-Compliant,5,1310
3/17/2022,11,Isabella Thompson,7,Speers Point Park,"Park Road, Speers Point, NSW 2284",948,Air Quality Check,Description 15,2.4,Equipment 8,307.61,Compliant,4,4944
10/26/2022,8,Uma Allen,20,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",687,Noise Level Measurement,Description 77,3.41,Equipment 17,405.22,Non-Compliant,3,4696
11/3/2022,22,Paula Young,11,Redhead Beach,"Beach Road, Redhead, NSW 2290",730,Noise Level Measurement,Description 45,6.08,Equipment 17,360.88,Non-Compliant,2,1456
6/6/2022,8,Xena Perez,3,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",203,Water Quality Test,Description 181,1.41,Equipment 4,173.14,Compliant,5,791
2/10/2022,12,Uma Allen,8,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",919,Soil Quality Test,Description 24,6.32,Equipment 10,16.54,Non-Compliant,2,2735
4/29/2022,8,Samantha Wright,9,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",664,Soil Quality Test,Description 48,5.67,Equipment 9,246.65,Non-Compliant,4,2125
1/27/2022,4,Jane White,2,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",533,Noise Level Measurement,Description 167,2.69,Equipment 18,456.47,Compliant,2,325
3/8/2022,20,Paula Young,19,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",16,Soil Quality Test,Description 149,2.94,Equipment 5,368.58,Non-Compliant,5,4125
7/23/2022,24,Rachel King,7,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",998,Water Quality Test,Description 7,1.99,Equipment 20,85.83,Compliant,4,2391
5/25/2022,9,Tina Scott,14,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",224,Water Quality Test,Description 100,3.85,Equipment 11,73.22,Compliant,3,739
10/1/2022,6,Alice Johnson,5,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",407,Water Quality Test,Description 22,6.05,Equipment 8,38.98,Compliant,5,1584
8/30/2022,18,Samantha Wright,13,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",453,Soil Quality Test,Description 199,1.29,Equipment 17,14.86,Compliant,1,3538
5/4/2022,14,Wendy Mitchell,24,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",252,Soil Quality Test,Description 157,4.71,Equipment 4,373.02,Non-Compliant,1,3157
2/24/2022,6,Kate Harris,17,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",155,Air Quality Check,Description 112,3.57,Equipment 9,350.74,Compliant,5,314
3/6/2022,21,Kate Harris,16,Lambton Park,"Morehead Street, Lambton, NSW 2299",125,Water Quality Test,Description 97,6.04,Equipment 8,487.11,Compliant,3,3672
8/16/2022,9,Vicky Turner,8,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",454,Noise Level Measurement,Description 138,2.37,Equipment 5,368.77,Compliant,5,3619
1/20/2022,23,Yvonne Cook,14,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",961,Air Quality Check,Description 82,1.67,Equipment 7,266.22,Compliant,3,3080
8/26/2022,11,Alice Johnson,6,Waratah Park,"Turton Road, Waratah, NSW 2298",406,Noise Level Measurement,Description 19,1.96,Equipment 16,358.27,Non-Compliant,1,4737
8/31/2022,23,Rachel King,11,King Edward Park,"Reserve Road, Newcastle, NSW 2300",199,Noise Level Measurement,Description 139,3.48,Equipment 10,331.86,Non-Compliant,5,405
11/29/2022,17,Jane White,8,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",813,Soil Quality Test,Description 73,4.4,Equipment 19,430.69,Non-Compliant,4,406
1/21/2022,11,Laura Clark,3,King Edward Park,"Reserve Road, Newcastle, NSW 2300",214,Air Quality Check,Description 80,5.74,Equipment 1,373.04,Non-Compliant,4,4953
1/11/2022,16,Samantha Wright,7,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",236,Soil Quality Test,Description 35,2.81,Equipment 11,327.62,Compliant,4,2181
10/19/2022,20,Vicky Turner,15,Merewether Beach,"John Parade, Merewether, NSW 2291",63,Water Quality Test,Description 195,4.61,Equipment 16,497.6,Non-Compliant,2,1603
5/31/2022,7,Grace Jones,9,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",419,Noise Level Measurement,Description 166,4.64,Equipment 2,109.29,Compliant,1,4722
9/3/2022,16,Natalie Walker,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",81,Noise Level Measurement,Description 121,4.76,Equipment 13,413.38,Compliant,3,1831
1/13/2022,15,Olivia Hall,17,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",858,Water Quality Test,Description 175,6.4,Equipment 14,88.5,Compliant,5,3053
10/7/2022,12,Uma Allen,5,Redhead Beach,"Beach Road, Redhead, NSW 2290",957,Soil Quality Test,Description 84,5.14,Equipment 13,467.41,Non-Compliant,1,4385
2/8/2022,6,Uma Allen,18,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",171,Water Quality Test,Description 127,1.94,Equipment 18,356.78,Compliant,1,2660
4/24/2022,11,Vicky Turner,8,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",289,Water Quality Test,Description 175,6.74,Equipment 14,407.21,Compliant,3,986
3/9/2022,4,Grace Jones,10,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",641,Air Quality Check,Description 63,1.73,Equipment 9,205.39,Non-Compliant,5,1
9/20/2022,8,Alice Johnson,9,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",42,Soil Quality Test,Description 115,1.82,Equipment 18,446.5,Compliant,1,1842
2/13/2022,10,Tina Scott,6,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",841,Water Quality Test,Description 132,1.31,Equipment 11,151.54,Non-Compliant,3,2044
5/16/2022,17,Hannah Moore,16,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",293,Water Quality Test,Description 91,2.62,Equipment 6,86.42,Compliant,3,3598
7/27/2022,5,Olivia Hall,9,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",659,Air Quality Check,Description 67,6.42,Equipment 14,182.14,Non-Compliant,3,3443
9/18/2022,23,Jane White,3,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",453,Water Quality Test,Description 32,6.7,Equipment 7,3.43,Non-Compliant,3,4696
6/7/2022,9,Wendy Mitchell,22,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",570,Noise Level Measurement,Description 151,3.95,Equipment 8,240.98,Non-Compliant,3,3662
5/14/2022,24,Laura Clark,4,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",211,Water Quality Test,Description 195,7.62,Equipment 5,474.44,Non-Compliant,1,4802
7/19/2022,12,Megan Lewis,19,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",418,Soil Quality Test,Description 33,3.91,Equipment 8,181.79,Compliant,5,1466
7/14/2022,4,Jane White,21,Lambton Park,"Morehead Street, Lambton, NSW 2299",275,Air Quality Check,Description 10,1.86,Equipment 15,2.89,Compliant,4,2403
4/12/2022,3,Zoe Ward,11,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",157,Soil Quality Test,Description 74,4.04,Equipment 12,485.68,Non-Compliant,4,4073
12/27/2022,6,Xena Perez,6,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",6,Air Quality Check,Description 5,5,Equipment 15,178.92,Non-Compliant,2,4131
8/24/2022,7,Ella Brown,2,Waratah Park,"Turton Road, Waratah, NSW 2298",688,Soil Quality Test,Description 200,5.28,Equipment 11,434.84,Non-Compliant,3,1426
6/7/2022,12,Tina Scott,13,King Edward Park,"Reserve Road, Newcastle, NSW 2300",62,Water Quality Test,Description 20,5.9,Equipment 4,105.07,Compliant,4,646
3/4/2022,18,Wendy Mitchell,2,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",861,Noise Level Measurement,Description 146,3.37,Equipment 3,212.68,Compliant,4,2180
8/22/2022,7,Diana Taylor,2,King Edward Park,"Reserve Road, Newcastle, NSW 2300",448,Air Quality Check,Description 6,5.29,Equipment 18,76.67,Non-Compliant,3,4570
11/17/2022,21,Olivia Hall,8,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",881,Air Quality Check,Description 115,6.64,Equipment 12,473.5,Compliant,4,327
4/29/2022,3,Tina Scott,3,Merewether Beach,"John Parade, Merewether, NSW 2291",65,Noise Level Measurement,Description 28,2.64,Equipment 7,436.5,Non-Compliant,3,2313
10/24/2022,1,Samantha Wright,15,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",326,Water Quality Test,Description 136,6.7,Equipment 2,206.19,Compliant,4,4609
3/11/2022,5,Xena Perez,4,Speers Point Park,"Park Road, Speers Point, NSW 2284",949,Water Quality Test,Description 150,7.26,Equipment 16,45.3,Non-Compliant,4,216
12/12/2022,4,Zoe Ward,13,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",615,Water Quality Test,Description 144,4.13,Equipment 6,271.64,Compliant,3,3179
2/24/2022,10,Samantha Wright,18,Redhead Beach,"Beach Road, Redhead, NSW 2290",167,Water Quality Test,Description 64,4.9,Equipment 4,483.5,Non-Compliant,1,4718
7/3/2022,6,Catherine Lee,10,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",413,Air Quality Check,Description 54,6.78,Equipment 19,367.21,Compliant,2,3256
12/26/2022,7,Diana Taylor,19,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",66,Air Quality Check,Description 60,6.65,Equipment 1,441.18,Compliant,2,302
10/8/2022,23,Catherine Lee,11,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",943,Noise Level Measurement,Description 161,6.05,Equipment 19,39.34,Non-Compliant,5,626
7/4/2022,6,Hannah Moore,20,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",821,Water Quality Test,Description 21,6.41,Equipment 14,416.94,Non-Compliant,5,2861
12/23/2022,5,Beth Smith,19,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",489,Soil Quality Test,Description 193,1.25,Equipment 10,135.82,Non-Compliant,3,2604
12/15/2022,9,Fiona Wilson,9,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",738,Noise Level Measurement,Description 35,4.88,Equipment 17,451.84,Compliant,3,1991
6/23/2022,24,Vicky Turner,23,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",550,Soil Quality Test,Description 93,7.64,Equipment 18,437.19,Compliant,4,361
9/3/2022,15,Ella Brown,5,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",283,Air Quality Check,Description 49,1.33,Equipment 10,485.14,Compliant,1,182
12/22/2022,17,Xena Perez,5,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",242,Air Quality Check,Description 2,6.27,Equipment 11,61.6,Compliant,3,3236
8/20/2022,20,Grace Jones,10,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",664,Noise Level Measurement,Description 196,2.33,Equipment 6,116.96,Compliant,2,2342
5/17/2022,21,Megan Lewis,23,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",350,Soil Quality Test,Description 183,1.63,Equipment 2,286.49,Compliant,4,174
5/10/2022,4,Samantha Wright,2,Lambton Park,"Morehead Street, Lambton, NSW 2299",799,Noise Level Measurement,Description 12,5.34,Equipment 17,489.06,Non-Compliant,3,2688
1/28/2022,7,Megan Lewis,8,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",403,Noise Level Measurement,Description 69,2.86,Equipment 3,148.17,Compliant,3,2703
2/7/2022,5,Hannah Moore,12,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",214,Soil Quality Test,Description 8,2.92,Equipment 5,221.63,Compliant,1,4293
10/1/2022,17,Alice Johnson,18,Waratah Park,"Turton Road, Waratah, NSW 2298",793,Soil Quality Test,Description 130,1.02,Equipment 5,245.98,Compliant,5,4799
9/16/2022,11,Kate Harris,4,King Edward Park,"Reserve Road, Newcastle, NSW 2300",379,Noise Level Measurement,Description 26,2.56,Equipment 2,196.2,Compliant,2,1936
5/16/2022,14,Uma Allen,6,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",925,Air Quality Check,Description 32,7.93,Equipment 7,314.68,Non-Compliant,4,2213
1/10/2022,23,Diana Taylor,13,King Edward Park,"Reserve Road, Newcastle, NSW 2300",258,Soil Quality Test,Description 170,7.46,Equipment 10,57.85,Compliant,1,3131
10/1/2022,19,Vicky Turner,4,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",983,Noise Level Measurement,Description 128,2.47,Equipment 8,35.49,Compliant,2,136
7/6/2022,25,Laura Clark,6,Merewether Beach,"John Parade, Merewether, NSW 2291",358,Water Quality Test,Description 92,3.15,Equipment 19,82.84,Compliant,1,722
12/7/2022,12,Tina Scott,17,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",398,Noise Level Measurement,Description 11,6.88,Equipment 14,97.61,Compliant,5,1816
9/10/2022,2,Zoe Ward,21,Speers Point Park,"Park Road, Speers Point, NSW 2284",710,Noise Level Measurement,Description 100,5.18,Equipment 8,385.14,Compliant,3,4056
3/9/2022,3,Fiona Wilson,21,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",713,Water Quality Test,Description 107,3.71,Equipment 13,487.01,Compliant,1,2802
12/31/2022,3,Beth Smith,3,Redhead Beach,"Beach Road, Redhead, NSW 2290",379,Air Quality Check,Description 115,7.09,Equipment 18,14.97,Non-Compliant,5,603
1/12/2022,15,Wendy Mitchell,19,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",412,Soil Quality Test,Description 150,4.17,Equipment 6,70.49,Non-Compliant,3,1951
10/23/2022,7,Zoe Ward,19,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",778,Noise Level Measurement,Description 198,5.94,Equipment 12,69.69,Compliant,2,4206
2/26/2022,22,Alice Johnson,22,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",41,Noise Level Measurement,Description 90,7.57,Equipment 16,191.71,Non-Compliant,3,3880
2/13/2022,8,Vicky Turner,11,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",51,Noise Level Measurement,Description 124,7.32,Equipment 5,162.84,Compliant,3,339
8/30/2022,17,Fiona Wilson,18,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",699,Noise Level Measurement,Description 119,4.12,Equipment 11,143.82,Non-Compliant,2,2905
4/8/2022,13,Laura Clark,6,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",9,Water Quality Test,Description 21,3.47,Equipment 19,453.03,Non-Compliant,4,685
12/2/2022,15,Wendy Mitchell,21,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",623,Soil Quality Test,Description 80,3.61,Equipment 2,399.69,Non-Compliant,5,3335
3/8/2022,15,Alice Johnson,22,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",526,Noise Level Measurement,Description 95,4.46,Equipment 16,32.86,Compliant,1,1300
4/22/2022,1,Catherine Lee,10,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",173,Water Quality Test,Description 188,1.91,Equipment 11,76.72,Compliant,1,2763
12/23/2022,4,Samantha Wright,22,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",267,Air Quality Check,Description 138,5.72,Equipment 1,346.59,Non-Compliant,4,897
1/31/2022,15,Diana Taylor,7,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",966,Air Quality Check,Description 120,5.91,Equipment 8,114.26,Non-Compliant,4,4175
12/16/2022,13,Hannah Moore,13,Lambton Park,"Morehead Street, Lambton, NSW 2299",948,Water Quality Test,Description 140,2.97,Equipment 4,255.6,Non-Compliant,5,2267
3/18/2022,11,Natalie Walker,7,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",931,Noise Level Measurement,Description 25,1.83,Equipment 1,0.05,Compliant,3,4108
7/9/2022,18,Diana Taylor,15,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",782,Air Quality Check,Description 147,6.58,Equipment 9,397.36,Non-Compliant,1,3692
10/16/2022,5,Isabella Thompson,6,Waratah Park,"Turton Road, Waratah, NSW 2298",387,Noise Level Measurement,Description 144,4.91,Equipment 1,79.35,Non-Compliant,5,4033
12/25/2022,15,Tina Scott,11,King Edward Park,"Reserve Road, Newcastle, NSW 2300",863,Air Quality Check,Description 24,5.86,Equipment 1,321.84,Compliant,4,960
5/10/2022,1,Diana Taylor,10,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",916,Soil Quality Test,Description 93,3.01,Equipment 17,250.4,Non-Compliant,5,2626
10/28/2022,15,Alice Johnson,20,King Edward Park,"Reserve Road, Newcastle, NSW 2300",821,Soil Quality Test,Description 102,4.44,Equipment 16,274.99,Compliant,5,2666
1/25/2022,11,Kate Harris,17,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",991,Water Quality Test,Description 117,2.92,Equipment 17,171.28,Non-Compliant,3,2574
7/25/2022,1,Catherine Lee,21,Merewether Beach,"John Parade, Merewether, NSW 2291",8,Soil Quality Test,Description 152,7.95,Equipment 14,118.19,Non-Compliant,4,291
11/3/2022,14,Fiona Wilson,5,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",570,Soil Quality Test,Description 154,6.99,Equipment 14,217.11,Non-Compliant,4,2013
9/6/2022,11,Xena Perez,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",644,Soil Quality Test,Description 70,3.91,Equipment 18,383.86,Non-Compliant,2,962
